event_id,hourly_prod_id,event_type,cause_family,organ,element,operator_action,duration_minutes,comment
EV_3072166a,HP_69a9cb64,photoelectric_sensor_fault,electrical,conveyor,photoelectric_sensor,sensor cleaning,5,Generated production event
EV_15d79972,HP_b2057d10,short_break,planned,human,break,break,10,Alternating daily break
EV_c3f2ed4d,HP_b2057d10,other,other,unknown,unknown,unknown,10,Generated production event
EV_80675f5a,HP_b2057d10,destacker_jam,mechanical,destacker,tray_flow,tray clearance,1,Generated production event
EV_502ca21e,HP_f68ae4f0,short_break,planned,human,break,break,10,Alternating daily break
EV_2f6f272a,HP_f68ae4f0,shift_handover,planned,organization,handover,handover,11,Generated production event
EV_26876799,HP_f68ae4f0,film_retake,process,film_unit,film,film reposition,1,Generated production event
EV_71e2cdd4,HP_65ed878f,meeting,planned,organization,meeting,meeting,15,Generated production event
EV_da9f255e,HP_65ed878f,small_product_output,process,upstream_process,throughput,process check,3,Generated production event
EV_230ffeae,HP_61b1cbd2,case_packer_format_change,changeover,case_packer,format,format change,18,Generated production event
EV_fa6b40c1,HP_61b1cbd2,base_plate_transfer_fault,mechanical,base_plate_system,transfer,plate transfer,3,Generated production event
EV_d9ea4651,HP_61b1cbd2,product_detachment_fault,mechanical,delta_robot,gripper,product pick,1,Generated production event
EV_99925cd9,HP_0b64a8da,paper_roll_change,changeover,printing_unit,paper_roll,roll change,5,Generated production event
EV_3d078e53,HP_0b64a8da,label_ribbon_replacement,operator,labeling_unit,ribbon,ribbon replacement,9,Generated production event
EV_e140dd07,HP_0b64a8da,planned_maintenance,maintenance,maintenance,planned,maintenance,6,Generated production event
EV_6aa635a4,HP_0b64a8da,cleaning,planned,line,cleaning,cleaning,2,Generated production event
EV_e4b26f7a,HP_b519e027,infeed_conveyor_failure,mechanical,stacker,conveyor,conveyor supply,6,Generated production event
EV_ea1e679e,HP_b519e027,machine_warmup,planned,machine,startup,warmup,15,Generated production event
EV_b086498e,HP_da3e7152,product_detachment_fault,mechanical,delta_robot,gripper,product pick,12,Generated production event
EV_610472a6,HP_da3e7152,paper_roll_change,changeover,printing_unit,paper_roll,roll change,4,Generated production event
EV_c095a816,HP_da3e7152,article_code_change,changeover,control_system,article_code,code update,3,Generated production event
EV_d1d93a41,HP_da3e7152,film_retake,process,film_unit,film,film reposition,2,Generated production event
EV_6b59f24d,HP_41f0e59e,case_packer_format_change,changeover,case_packer,format,format change,17,Generated production event
EV_decfe3f4,HP_39d3c327,unknown_event,other,unknown,unknown,unknown,19,Generated production event
EV_a67304ca,HP_39d3c327,planned_maintenance,maintenance,maintenance,planned,maintenance,3,Generated production event
EV_e5207615,HP_ffef49fe,empty_tray_before_stacker,process,stacker,tray_supply,tray refill,20,Generated production event
EV_3cd6fc89,HP_ffef49fe,cleaning,planned,line,cleaning,cleaning,3,Generated production event
EV_f37daf7c,HP_ffef49fe,planned_maintenance,maintenance,maintenance,planned,maintenance,4,Generated production event
EV_e5e7ef72,HP_ffef49fe,weigher_tank_change,changeover,weigher,tank,tank change,1,Generated production event
EV_519c7633,HP_ab877e9e,cassette_sticker_adjustment,process,labeling_unit,cassette,cassette adjust,10,Generated production event
EV_5062fdf3,HP_ab877e9e,delta_sensor_fault_1,electrical,delta_robot,sensor,sensor check,10,Generated production event
EV_ef714eba,HP_ab877e9e,operator_break,planned,human,break,break,3,Generated production event
EV_d26a9d63,HP_ab877e9e,base_plate_transfer_fault,mechanical,base_plate_system,transfer,plate transfer,6,Generated production event
EV_fcdcbb8a,HP_13c9078a,machine_warmup,planned,machine,startup,warmup,7,Generated production event
EV_c84fb26a,HP_13c9078a,stacker_jam,mechanical,stacker,tray_flow,tray clearance,18,Generated production event
EV_4e2303f7,HP_534f66f9,cleaning,planned,line,cleaning,cleaning,16,Generated production event
EV_aba27426,HP_534f66f9,photoelectric_sensor_fault,electrical,conveyor,photoelectric_sensor,sensor cleaning,7,Generated production event
EV_28976722,HP_534f66f9,axis_collision,mechanical,robot_axis,axis,axis reset,1,Generated production event
EV_835ef2e7,HP_4cab2a9f,other,other,unknown,unknown,unknown,14,Generated production event
EV_ac47ec3c,HP_4cab2a9f,sticker_roll_change,changeover,labeling_unit,sticker_roll,roll change,11,Generated production event
EV_fe03c451,HP_bbec12da,delta_sensor_fault_2,electrical,delta_robot,sensor,sensor check,13,Generated production event
EV_a19d5557,HP_bbec12da,outfeed_conveyor_failure,mechanical,case_packer,conveyor,product evacuation,12,Generated production event
EV_f7e3263e,HP_bbec12da,shift_handover,planned,organization,handover,handover,2,Generated production event
EV_ee30f2ad,HP_63f59937,delta_sensor_fault_2,electrical,delta_robot,sensor,sensor check,4,Generated production event
EV_ed227b09,HP_63f59937,sticker_application_fault,process,labeling_unit,applicator,sticker adjustment,5,Generated production event
EV_96e8dfbe,HP_63f59937,door_safety_fault,electrical,safety_system,safety_door,reset safety,13,Generated production event
EV_1f9aaee2,HP_63f59937,delta_sensor_fault_2,electrical,delta_robot,sensor,sensor check,4,Generated production event
EV_44378a07,HP_63f59937,missing_film_imprint,quality,printing_unit,print_head,print check,2,Generated production event
EV_3d04aa19,HP_02afd8ab,stacker_jam,mechanical,stacker,tray_flow,tray clearance,18,Generated production event
EV_e7321e42,HP_02afd8ab,sticker_rewinder_belt_break,mechanical,labeling_unit,belt,belt replacement,6,Generated production event
EV_b782e15e,HP_ee598795,base_plate_position_fault,mechanical,base_plate_system,positioning,plate alignment,16,Generated production event
EV_ec6e4c3e,HP_ee598795,poor_material_supply,organization,supply_chain,logistics,supply adjustment,6,Generated production event
EV_f0dba4f0,HP_ee598795,intermediate_changeover,changeover,line,format,changeover,1,Generated production event
EV_74dcebfc,HP_623a1e54,other,other,unknown,unknown,unknown,6,Generated production event
EV_f7754fb1,HP_623a1e54,delta_sensor_fault_1,electrical,delta_robot,sensor,sensor check,15,Generated production event
EV_9970c598,HP_623a1e54,material_shortage,organization,supply_chain,raw_material,material supply,3,Generated production event
EV_e0e3066f,HP_623a1e54,sticker_rewinder_belt_break,mechanical,labeling_unit,belt,belt replacement,1,Generated production event
EV_011d2d2c,HP_a1130ff4,stacker_jam,mechanical,stacker,tray_flow,tray clearance,16,Generated production event
EV_4159751f,HP_a1130ff4,tray_blocked_in_stacker,mechanical,stacker,guide,tray alignment,7,Generated production event
EV_5ef48e57,HP_a1130ff4,article_code_change,changeover,control_system,article_code,code update,3,Generated production event
EV_024e32b1,HP_a1130ff4,delta_sensor_fault_2,electrical,delta_robot,sensor,sensor check,1,Generated production event
EV_4a80657f,HP_87ede5db,shift_handover,planned,organization,handover,handover,6,Generated production event
EV_0d3dc362,HP_87ede5db,delta_sensor_fault_1,electrical,delta_robot,sensor,sensor check,3,Generated production event
EV_ec407874,HP_87ede5db,base_plate_transfer_fault,mechanical,base_plate_system,transfer,plate transfer,15,Generated production event
EV_7e32ddbd,HP_87ede5db,sticker_rewinder_belt_break,mechanical,labeling_unit,belt,belt replacement,1,Generated production event
EV_1f23cd08,HP_82189e1c,photoelectric_sensor_fault,electrical,conveyor,photoelectric_sensor,sensor cleaning,15,Generated production event
EV_ae9f66da,HP_82189e1c,delta_sensor_fault_1,electrical,delta_robot,sensor,sensor check,5,Generated production event
EV_45e1fa77,HP_82189e1c,label_ribbon_replacement,operator,labeling_unit,ribbon,ribbon replacement,3,Generated production event
EV_f67815e2,HP_82189e1c,label_ribbon_replacement,operator,labeling_unit,ribbon,ribbon replacement,4,Generated production event
EV_65fd75b5,HP_60f238bb,product_length_out_of_range,quality,measurement_system,length_control,product rejection,16,Generated production event
EV_50ae518c,HP_60f238bb,shift_handover,planned,organization,handover,handover,6,Generated production event
EV_f26c44fb,HP_28a2223e,short_break,planned,human,break,break,10,Alternating daily break
EV_da104e3c,HP_28a2223e,delta_sensor_fault_1,electrical,delta_robot,sensor,sensor check,11,Generated production event
EV_327c1365,HP_9d4c759a,short_break,planned,human,break,break,10,Alternating daily break
EV_8686294f,HP_9d4c759a,delta_sensor_fault_1,electrical,delta_robot,sensor,sensor check,10,Generated production event
EV_302d82ba,HP_9d4c759a,case_packer_format_change,changeover,case_packer,format,format change,1,Generated production event
EV_f5b15291,HP_ee381eec,short_break,planned,human,break,break,10,Alternating daily break
EV_6479b5e7,HP_ee381eec,delta_sensor_fault_1,electrical,delta_robot,sensor,sensor check,3,Generated production event
EV_f16181d5,HP_ee381eec,tray_blocked_in_stacker,mechanical,stacker,guide,tray alignment,3,Generated production event
EV_33d8e7db,HP_f46be536,short_break,planned,human,break,break,10,Alternating daily break
EV_d74f8c9c,HP_f46be536,sticker_rewinder_belt_break,mechanical,labeling_unit,belt,belt replacement,9,Generated production event
EV_0783e00d,HP_f46be536,product_detachment_fault,mechanical,delta_robot,gripper,product pick,2,Generated production event
EV_b1e49400,HP_40fc5e6b,short_break,planned,human,break,break,10,Alternating daily break
EV_430a9f58,HP_40fc5e6b,meeting,planned,organization,meeting,meeting,3,Generated production event
EV_25db6b4f,HP_40fc5e6b,unplanned_maintenance,maintenance,maintenance,unplanned,maintenance,3,Generated production event
EV_99bdfd7a,HP_1c3bcdf0,short_break,planned,human,break,break,10,Alternating daily break
EV_eec17e32,HP_1c3bcdf0,operator_break,planned,human,break,break,11,Generated production event
EV_7639fae9,HP_96205cd0,short_break,planned,human,break,break,10,Alternating daily break
EV_e854f126,HP_96205cd0,conveyor_output_jam,mechanical,outfeed_conveyor,product_flow,jam removal,6,Generated production event
EV_3ebdec15,HP_96205cd0,film_retake,process,film_unit,film,film reposition,4,Generated production event
EV_d229be73,HP_b29fa557,short_break,planned,human,break,break,10,Alternating daily break
EV_b8b7ad07,HP_b29fa557,article_code_change,changeover,control_system,article_code,code update,13,Generated production event
EV_50673986,HP_b29fa557,delta_sensor_fault_2,electrical,delta_robot,sensor,sensor check,3,Generated production event
EV_1f2a60cd,HP_b29fa557,article_code_change,changeover,control_system,article_code,code update,3,Generated production event
EV_d8945d5b,HP_319c3b46,short_break,planned,human,break,break,10,Alternating daily break
EV_61f233e5,HP_319c3b46,base_plate_position_fault,mechanical,base_plate_system,positioning,plate alignment,4,Generated production event
EV_63012dda,HP_319c3b46,machine_warmup,planned,machine,startup,warmup,6,Generated production event
EV_f0f3a263,HP_319c3b46,case_packer_format_change,changeover,case_packer,format,format change,5,Generated production event
EV_6109c6fc,HP_319c3b46,stacker_jam,mechanical,stacker,tray_flow,tray clearance,1,Generated production event
EV_00ee889b,HP_39b1a96c,short_break,planned,human,break,break,10,Alternating daily break
EV_9e5d5006,HP_39b1a96c,sticker_rewinder_belt_break,mechanical,labeling_unit,belt,belt replacement,8,Generated production event
EV_6997b956,HP_39b1a96c,product_length_out_of_range,quality,measurement_system,length_control,product rejection,4,Generated production event
EV_99bbd542,HP_39b1a96c,sticker_roll_change,changeover,labeling_unit,sticker_roll,roll change,2,Generated production event
EV_9575782e,HP_9a57eeab,short_break,planned,human,break,break,10,Alternating daily break
EV_cf14bd97,HP_9a57eeab,unplanned_maintenance,maintenance,maintenance,unplanned,maintenance,15,Generated production event
EV_9dc6be93,HP_f5b01441,short_break,planned,human,break,break,10,Alternating daily break
EV_30471b0c,HP_f5b01441,shift_handover,planned,organization,handover,handover,7,Generated production event
EV_836e14ad,HP_f5b01441,base_plate_position_fault,mechanical,base_plate_system,positioning,plate alignment,4,Generated production event
EV_3e9de38a,HP_f5b01441,film_retake,process,film_unit,film,film reposition,3,Generated production event
EV_d22569de,HP_f5b01441,base_plate_position_fault,mechanical,base_plate_system,positioning,plate alignment,2,Generated production event
EV_3970d3b6,HP_73bd54e5,short_break,planned,human,break,break,10,Alternating daily break
EV_94eb0dc2,HP_73bd54e5,product_length_out_of_range,quality,measurement_system,length_control,product rejection,12,Generated production event
EV_1152f985,HP_73bd54e5,photoelectric_sensor_fault,electrical,conveyor,photoelectric_sensor,sensor cleaning,3,Generated production event
EV_646efbc5,HP_186e9527,short_break,planned,human,break,break,10,Alternating daily break
EV_f0cdbf7e,HP_186e9527,unknown_event,other,unknown,unknown,unknown,7,Generated production event
EV_84e01ce4,HP_186e9527,case_packer_format_change,changeover,case_packer,format,format change,6,Generated production event
EV_4636084e,HP_186e9527,film_retake,process,film_unit,film,film reposition,2,Generated production event
EV_0004fc86,HP_191f6e22,short_break,planned,human,break,break,10,Alternating daily break
EV_a8bc7028,HP_191f6e22,base_plate_transfer_fault,mechanical,base_plate_system,transfer,plate transfer,5,Generated production event
EV_0d91ad0e,HP_c84c53e2,short_break,planned,human,break,break,10,Alternating daily break
EV_4e0bc1dc,HP_c84c53e2,infeed_conveyor_failure,mechanical,stacker,conveyor,conveyor supply,5,Generated production event
EV_857c5cc5,HP_c84c53e2,stacker_jam,mechanical,stacker,tray_flow,tray clearance,3,Generated production event
EV_f2726e80,HP_05abea60,short_break,planned,human,break,break,10,Alternating daily break
EV_0e857a9f,HP_05abea60,sticker_roll_change,changeover,labeling_unit,sticker_roll,roll change,7,Generated production event
EV_bf9f5ab9,HP_3c0b97c7,short_break,planned,human,break,break,10,Alternating daily break
EV_36e0b53f,HP_3c0b97c7,product_detachment_fault,mechanical,delta_robot,gripper,product pick,3,Generated production event
EV_12e70d72,HP_3c0b97c7,destacker_jam,mechanical,destacker,tray_flow,tray clearance,3,Generated production event
EV_562cf5ad,HP_ee911217,short_break,planned,human,break,break,10,Alternating daily break
EV_26d865b2,HP_ee911217,meeting,planned,organization,meeting,meeting,7,Generated production event
EV_34542a3e,HP_95059c08,short_break,planned,human,break,break,10,Alternating daily break
EV_c05f0819,HP_95059c08,cassette_sticker_adjustment,process,labeling_unit,cassette,cassette adjust,8,Generated production event
EV_56c8ab5d,HP_95059c08,door_safety_fault,electrical,safety_system,safety_door,reset safety,2,Generated production event
EV_9cc7c9e1,HP_96f5a7b7,short_break,planned,human,break,break,10,Alternating daily break
EV_664c8dba,HP_96f5a7b7,sticker_rewinder_belt_break,mechanical,labeling_unit,belt,belt replacement,5,Generated production event
EV_3f74037d,HP_35daabc2,intermediate_changeover,changeover,line,format,changeover,7,Generated production event
EV_8dc27c7b,HP_35daabc2,sticker_rewinder_belt_break,mechanical,labeling_unit,belt,belt replacement,5,Generated production event
EV_cedb1a56,HP_35daabc2,tray_blocked_in_stacker,mechanical,stacker,guide,tray alignment,9,Generated production event
EV_947fcc27,HP_35daabc2,outfeed_conveyor_failure,mechanical,case_packer,conveyor,product evacuation,1,Generated production event
EV_074e2c2d,HP_fd94f938,intermediate_changeover,changeover,line,format,changeover,10,Generated production event
EV_d167ef10,HP_fd94f938,missing_film_imprint,quality,printing_unit,print_head,print check,5,Generated production event
EV_1544fb3e,HP_fd94f938,base_plate_position_fault,mechanical,base_plate_system,positioning,plate alignment,6,Generated production event
EV_8796b91a,HP_fd94f938,door_safety_fault,electrical,safety_system,safety_door,reset safety,1,Generated production event
EV_0ae027f2,HP_411db040,article_code_change,changeover,control_system,article_code,code update,14,Generated production event
EV_13e74786,HP_411db040,cassette_sticker_adjustment,process,labeling_unit,cassette,cassette adjust,3,Generated production event
EV_29f1d624,HP_411db040,sticker_application_fault,process,labeling_unit,applicator,sticker adjustment,1,Generated production event
EV_96d7cca7,HP_e9aa00b4,material_shortage,organization,supply_chain,raw_material,material supply,11,Generated production event
EV_edc67806,HP_e9aa00b4,delta_sensor_fault_2,electrical,delta_robot,sensor,sensor check,7,Generated production event
EV_731ea0b8,HP_e9aa00b4,poor_material_supply,organization,supply_chain,logistics,supply adjustment,5,Generated production event
EV_473d0ed6,HP_60512b93,machine_warmup,planned,machine,startup,warmup,13,Generated production event
EV_8f6f8a10,HP_60512b93,outfeed_conveyor_failure,mechanical,case_packer,conveyor,product evacuation,3,Generated production event
EV_f65b1e95,HP_60512b93,film_retake,process,film_unit,film,film reposition,3,Generated production event
EV_f5d0eaa8,HP_60512b93,meeting,planned,organization,meeting,meeting,1,Generated production event
EV_fa2a33a5,HP_6eb32d48,base_plate_position_fault,mechanical,base_plate_system,positioning,plate alignment,12,Generated production event
EV_a7bd1702,HP_6eb32d48,paper_roll_change,changeover,printing_unit,paper_roll,roll change,4,Generated production event
EV_525b2311,HP_6eb32d48,conveyor_output_jam,mechanical,outfeed_conveyor,product_flow,jam removal,1,Generated production event
EV_46459cff,HP_8ba0f6c2,product_detachment_fault,mechanical,delta_robot,gripper,product pick,15,Generated production event
EV_4f502c4d,HP_8ba0f6c2,operator_break,planned,human,break,break,3,Generated production event
EV_b8f51ff6,HP_8ba0f6c2,film_retake,process,film_unit,film,film reposition,2,Generated production event
EV_ebc7b49e,HP_366fca2b,cleaning,planned,line,cleaning,cleaning,20,Generated production event
EV_88cbbfb1,HP_366fca2b,axis_collision,mechanical,robot_axis,axis,axis reset,5,Generated production event
EV_4be6cff0,HP_366fca2b,paper_roll_change,changeover,printing_unit,paper_roll,roll change,3,Generated production event
EV_5c58bfd4,HP_366fca2b,material_shortage,organization,supply_chain,raw_material,material supply,1,Generated production event
EV_0c67da58,HP_b09ea0bb,product_detachment_fault,mechanical,delta_robot,gripper,product pick,12,Generated production event
EV_c74b888d,HP_b09ea0bb,case_packer_format_change,changeover,case_packer,format,format change,7,Generated production event
EV_f5fe701b,HP_b09ea0bb,intermediate_changeover,changeover,line,format,changeover,5,Generated production event
EV_6653860e,HP_b09ea0bb,ink_ribbon_replacement,operator,printing_unit,ink_ribbon,ribbon replacement,2,Generated production event
EV_83a0e16a,HP_eb8f4fed,axis_collision,mechanical,robot_axis,axis,axis reset,16,Generated production event
EV_1d05f95e,HP_eb8f4fed,label_ribbon_replacement,operator,labeling_unit,ribbon,ribbon replacement,8,Generated production event
EV_f8af1649,HP_eb8f4fed,tray_blocked_in_stacker,mechanical,stacker,guide,tray alignment,1,Generated production event
EV_e4a9dc45,HP_0fb709f0,shift_handover,planned,organization,handover,handover,3,Generated production event
EV_7d749c1a,HP_0fb709f0,cassette_sticker_adjustment,process,labeling_unit,cassette,cassette adjust,12,Generated production event
EV_88c4cc9e,HP_0fb709f0,photoelectric_sensor_fault,electrical,conveyor,photoelectric_sensor,sensor cleaning,9,Generated production event
EV_1083ac6a,HP_0fb709f0,meeting,planned,organization,meeting,meeting,2,Generated production event
EV_c54473a7,HP_3573b257,sticker_roll_change,changeover,labeling_unit,sticker_roll,roll change,17,Generated production event
EV_9d52e460,HP_3573b257,photoelectric_sensor_fault,electrical,conveyor,photoelectric_sensor,sensor cleaning,7,Generated production event
EV_fa7db0f1,HP_3573b257,date_marking_change,changeover,printing_unit,date_format,date setup,2,Generated production event
EV_cb3b8ecc,HP_f61d9f13,empty_tray_before_stacker,process,stacker,tray_supply,tray refill,5,Generated production event
EV_f3312552,HP_f61d9f13,product_length_out_of_range,quality,measurement_system,length_control,product rejection,19,Generated production event
EV_512c2f5c,HP_f61d9f13,unknown_event,other,unknown,unknown,unknown,1,Generated production event
EV_b9e023c0,HP_f03a3ecc,sticker_rewinder_belt_break,mechanical,labeling_unit,belt,belt replacement,12,Generated production event
EV_ba4bf77a,HP_f03a3ecc,sticker_application_fault,process,labeling_unit,applicator,sticker adjustment,6,Generated production event
EV_e8e167c2,HP_f03a3ecc,destacker_jam,mechanical,destacker,tray_flow,tray clearance,3,Generated production event
EV_8ca653be,HP_f03a3ecc,door_safety_fault,electrical,safety_system,safety_door,reset safety,3,Generated production event
EV_3d064ba7,HP_f03a3ecc,date_marking_change,changeover,printing_unit,date_format,date setup,2,Generated production event
EV_00bd0455,HP_a6e8f1ae,article_code_change,changeover,control_system,article_code,code update,16,Generated production event
EV_9c16331c,HP_a6e8f1ae,unknown_event,other,unknown,unknown,unknown,7,Generated production event
EV_2a214000,HP_207ffa56,weigher_tank_change,changeover,weigher,tank,tank change,15,Generated production event
EV_2824eb0e,HP_207ffa56,sticker_rewinder_belt_break,mechanical,labeling_unit,belt,belt replacement,5,Generated production event
EV_53ccda5c,HP_207ffa56,other,other,unknown,unknown,unknown,5,Generated production event
EV_59b8b8c1,HP_a44ef1d0,base_plate_position_fault,mechanical,base_plate_system,positioning,plate alignment,16,Generated production event
EV_edca085a,HP_a44ef1d0,sticker_application_fault,process,labeling_unit,applicator,sticker adjustment,5,Generated production event
EV_e212954c,HP_a44ef1d0,cleaning,planned,line,cleaning,cleaning,6,Generated production event
EV_f21ddf47,HP_22cd67c5,product_detachment_fault,mechanical,delta_robot,gripper,product pick,17,Generated production event
EV_f1da2508,HP_22cd67c5,stacker_jam,mechanical,stacker,tray_flow,tray clearance,9,Generated production event
EV_9eab78d0,HP_520caba1,shift_handover,planned,organization,handover,handover,13,Generated production event
EV_9e3712c3,HP_520caba1,sticker_roll_change,changeover,labeling_unit,sticker_roll,roll change,11,Generated production event
EV_b916bd98,HP_41607706,sticker_roll_change,changeover,labeling_unit,sticker_roll,roll change,8,Generated production event
EV_4bbc515e,HP_41607706,date_marking_change,changeover,printing_unit,date_format,date setup,10,Generated production event
EV_fc4fdbce,HP_41607706,film_retake,process,film_unit,film,film reposition,4,Generated production event
EV_aebb4837,HP_41607706,unknown_event,other,unknown,unknown,unknown,2,Generated production event
EV_69172423,HP_6510d348,weigher_tank_change,changeover,weigher,tank,tank change,10,Generated production event
EV_2cb1d0ab,HP_6510d348,missing_film_imprint,quality,printing_unit,print_head,print check,10,Generated production event
EV_d55708d3,HP_6510d348,delta_sensor_fault_2,electrical,delta_robot,sensor,sensor check,5,Generated production event
EV_e816db90,HP_f5186aa2,short_break,planned,human,break,break,10,Alternating daily break
EV_a2e28c42,HP_f5186aa2,conveyor_output_jam,mechanical,outfeed_conveyor,product_flow,jam removal,4,Generated production event
EV_243acd07,HP_f5186aa2,stacker_jam,mechanical,stacker,tray_flow,tray clearance,4,Generated production event
EV_d109d4f6,HP_f5186aa2,sticker_application_fault,process,labeling_unit,applicator,sticker adjustment,2,Generated production event
EV_fe13d7a5,HP_a3abd439,short_break,planned,human,break,break,10,Alternating daily break
EV_e3b97e90,HP_a3abd439,photoelectric_sensor_fault,electrical,conveyor,photoelectric_sensor,sensor cleaning,3,Generated production event
EV_43d34d12,HP_a3abd439,intermediate_changeover,changeover,line,format,changeover,6,Generated production event
EV_a956a1dd,HP_2ee682fa,short_break,planned,human,break,break,10,Alternating daily break
EV_2286a4c4,HP_2ee682fa,delta_sensor_fault_1,electrical,delta_robot,sensor,sensor check,6,Generated production event
EV_3e5331df,HP_2ee682fa,intermediate_changeover,changeover,line,format,changeover,4,Generated production event
EV_61c79b6a,HP_f438df5c,short_break,planned,human,break,break,10,Alternating daily break
EV_6b4ca6d4,HP_f438df5c,outfeed_conveyor_failure,mechanical,case_packer,conveyor,product evacuation,6,Generated production event
EV_4c7ae9c4,HP_3563374d,short_break,planned,human,break,break,10,Alternating daily break
EV_bbc7feb0,HP_3563374d,cassette_sticker_adjustment,process,labeling_unit,cassette,cassette adjust,9,Generated production event
EV_58d11a2f,HP_66641946,short_break,planned,human,break,break,10,Alternating daily break
EV_a368f32c,HP_66641946,intermediate_changeover,changeover,line,format,changeover,7,Generated production event
EV_87b03186,HP_66641946,machine_warmup,planned,machine,startup,warmup,2,Generated production event
EV_f81c1fc2,HP_3300c789,short_break,planned,human,break,break,10,Alternating daily break
EV_9ff43345,HP_3300c789,weigher_tank_change,changeover,weigher,tank,tank change,4,Generated production event
